adj.P.Val,logFC,Gene.symbol,Gene.title
1.86E-16,4.61426329,TYMP,thymidine phosphorylase
1.89E-14,2.67887741,MYO1B,myosin IB
8.54E-14,-3.11653079,SELENBP1,selenium binding protein 1
1.2E-13,1.73327717,MSN,moesin
1.26E-13,3.01336836,GJA1,gap junction protein alpha 1
1.46E-13,1.84315065,TMSB10,thymosin beta 10
2.56E-13,3.80122765,TYMP,thymidine phosphorylase
3.46E-13,5.74692624,MMP1,matrix metallopeptidase 1
5.63E-13,2.68982616,FSCN1,fascin actin-bundling protein 1
5.63E-13,2.61995208,CDH3,cadherin 3
5.63E-13,2.10112043,RAB31,"RAB31, member RAS oncogene family"
6.38E-13,-2.25334846,GPD1L,glycerol-3-phosphate dehydrogenase 1-like
9.78E-13,3.16741039,ISG15,ISG15 ubiquitin-like modifier
9.78E-13,1.89792147,CTSC,cathepsin C
1.84E-12,2.25212127,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
3.57E-12,3.42808652,IFI27,interferon alpha inducible protein 27
3.57E-12,2.42220684,KRT17///JUP,keratin 17///junction plakoglobin
3.62E-12,2.2744464,ARPC1B,actin related protein 2/3 complex subunit 1B
8.34E-12,-1.81507466,CRAT,carnitine O-acetyltransferase
1.13E-11,1.36310368,TAGLN2,transgelin 2
1.17E-11,2.40496136,CTPS1,CTP synthase 1
1.17E-11,2.3386041,PLAU,"plasminogen activator, urokinase"
2.1E-11,-3.257306,MYH11,myosin heavy chain 11
2.5E-11,1.45974442,NMI,N-myc and STAT interactor
3.09E-11,2.90769993,TNC,tenascin C
3.09E-11,1.90374837,CD44,CD44 molecule (Indian blood group)
3.76E-11,2.87689743,TGFBI,transforming growth factor beta induced
3.76E-11,2.09272388,CD44,CD44 molecule (Indian blood group)
3.76E-11,2.06756723,CDK5,cyclin dependent kinase 5
3.76E-11,1.27740763,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1
3.76E-11,1.1487682,PSMB2,proteasome subunit beta 2
3.76E-11,-1.70609214,GOT1,glutamic-oxaloacetic transaminase 1
3.76E-11,-2.89725922,ALDH1L1,aldehyde dehydrogenase 1 family member L1
3.76E-11,-4.22110318,MYOC,myocilin
4.75E-11,-2.56215058,RRAGD,Ras related GTP binding D
6.77E-11,-1.61870403,FAM189A2,family with sequence similarity 189 member A2
7.1E-11,1.75205787,LPCAT1,lysophosphatidylcholine acyltransferase 1
8.48E-11,2.65728185,RGS20,regulator of G-protein signaling 20
1.08E-10,2.00292348,ACTN1,actinin alpha 1
1.22E-10,3.58782336,LAMC2,laminin subunit gamma 2
1.22E-10,-3.55735405,TSPAN8,tetraspanin 8
